index,title,authors,abstract,summary,source,venue_type,journal,publication_status,publication_date,doi,categories,score,matched_keywords,cited_by_count,article_url,pdf_url,open_access_status,local_pdf,pdf_download_status
1,Deciphering shared and divergent tissue architectures from cross-species spatial transcriptomics,"Zhang, B.; Zhou, X.; Zhang, S.; Zhang, S.","The integration of spatial transcriptomics (ST) data across species is essential for cross-species and translational studies, but remains challenging due to molecular divergence and anatomical differences between organisms. We present STACAME, a graph attention autoencoder-based framework to decipher shared and divergent tissue architectures from cross-species ST data by explicitly modeling both orthologous and species-specific genes. STACAME aligns ST slices in a spatially aware manner, identifies homologous and species-specific domains, and enables a suite of downstream comparative analyses. We demonstrate its utility by integrating ST datasets from diverse tissues, including hippocampus, isocortex, embryo, breast, liver, and cerebellum, across multiple species such as human, macaque, marmoset, mouse, and zebrafish. STACAME supports cross-species spatial domain alignment, the detection of shared and divergent spatially variable genes, development alignment and comparison, and the 3D integration of tissue architecture. This flexible approach facilitates the translation of findings from model organisms to humans, providing a unified computational platform for cross-species spatial transcriptomics.",STACAME 是一种基于图注意力自编码器的跨物种空间转录组整合方法，可同时建模同源与物种特异基因，在考虑空间结构的前提下对齐不同物种组织切片，并识别共享与差异性的组织架构及下游空间生物学特征。,biorxiv,preprint,biorxiv,preprint,2026-06-18,10.64898/2026.06.16.732760,bioinformatics,3.7929925620593874,computational; framework; integration; model; spatial transcriptomics; spatial-omics-computation,,https://www.biorxiv.org/content/10.64898/2026.06.16.732760v1.full.pdf,https://www.biorxiv.org/content/10.64898/2026.06.16.732760v1.full.pdf,open,,failed
2,SINTER3D: continuous 3D reconstruction of spatial transcriptomics via implicit neural representations,Tianjiao Zhang; S Li; Hailong Zhang; Ruolan Zhang; Zhongqian Zhao; Ruihan Wang; Xiaopeng Teng; Long Wan; Yucai Jiang; Jianyi Lyu; Rongxian Wang; Guohua Wang,"Abstract Spatial transcriptomics enables gene-expression profiling while preserving spatial context, but three-dimensional reconstruction from discrete tissue sections remains limited by large inter-section gaps and gene-wise independent interpolation. We develop SINTER3D, an implicit neural representation–based framework for joint three-dimensional interpolation of multiple genes. SINTER3D models gene expression as continuous functions of three-dimensional coordinates, enabling virtual section generation, spatial-domain identification, and cell-type deconvolution. Across datasets including adult mouse brain, human dorsolateral prefrontal cortex, developing human heart, Drosophila embryo, and breast cancer tissues, SINTER3D outperforms existing methods and reconstructs biologically meaningful three-dimensional molecular structures.",SINTER3D 提出了一种基于隐式神经表示的连续三维空间转录组重建方法，可联合建模多基因在三维坐标中的连续表达，从而实现虚拟切片生成、空间域识别和细胞类型解卷积，并在多种组织数据中比现有方法更准确地重建具有生物学意义的三维分子结构。,openalex,journal,Genome biology,published,2026-06-17,https://doi.org/10.1186/s13059-026-04160-5,Single-cell and spatial transcriptomics; Gene expression and cancer classification; Cell Image Analysis Techniques,3.5991725233979635,deconvolution; framework; method; model; spatial transcriptomics; spatial-omics-computation,0,https://doi.org/10.1186/s13059-026-04160-5,,gold,,no_pdf_url
3,Benchmarking gene expression reconstruction from single-cell latent representations,"Fu, X.; Klein, D.; Antipov, E.; Palma, A.; Tejada-Lapuerta, A.; Bahrami, M.; Kummerle, L. B.; Lubetzki, M.; Casale, F. P.; Luecken, M. D.; Theis, F. J.","Single-cell transcriptomics is typically modeled in low-dimensional latent representations that improve the signal-to-noise ratio of the data. Such representations underpin data integration, cell state discovery, and perturbation prediction, with applications ranging from large-scale organ atlases to latent trajectory modeling. Recent virtual cell approaches further leverage these representations to predict cellular responses as distributional shifts in latent space. Each of these applications ultimately requires faithful gene expression reconstruction from latent spaces for biological interpretation, enabling gene-level analysis of predicted perturbed or batch-corrected cells. Yet representation choice is typically treated as an implementation detail rather than a primary modeling decision, with no systematic evaluation of how well latent representations support gene expression reconstruction. Here, we introduce ReconEval, a benchmark for evaluating gene expression reconstruction from single-cell latent spaces. We benchmark two classes of latent representations: end-to-end trained models such as PCA, autoencoders, and variational autoencoders, and pretrained single-cell foundation model embeddings coupled to newly trained decoders. Reconstruction is evaluated both directly and after latent-space perturbation prediction. Across perturbational and observational datasets totaling over 100 million cells, our metric suite quantifies statistical fidelity; biological signal preservation, including differential expression, coexpression, cell-cycle structure, cytokine response and pathway activity; and perturbation-specific effects. We find that autoencoders achieve the strongest stand-alone reconstruction at low dimensionality, while variational regularization does not improve generalization in reconstruction. Frozen foundation model embeddings retain recoverable gene-level information, with reconstruction quality depending strongly on decoder architecture and pretraining objective. In latent perturbation modeling, high-dimensional PCA matches foundation model embeddings, while low-dimensional AE embeddings are optimal for flow-based generative models. Overall, reconstruction depends critically on the interplay between representation and downstream model, and simpler representations can outperform complex alternatives given appropriate capacity. Our benchmark establishes reconstruction as a critical evaluation axis for single-cell foundation models. We envision it improving the biological interpretability of latent-space modeling, a prerequisite for future virtual cell models to be validated by domain experts and grounded in biology.",该论文提出单细胞潜在表示重建基因表达的系统性基准 ReconEval，发现基因表达重建效果高度依赖潜在表示与下游模型的匹配关系，且在合适设置下简单方法如自编码器或高维 PCA 往往可优于更复杂的基础模型表示。,biorxiv,preprint,biorxiv,preprint,2026-06-18,10.64898/2026.06.15.731445,bioinformatics,3.360486400183853,foundation model; generative model; integration; model; omics-simulation; perturbation; single-cell; single-cell-computation; single-cell-perturbation; variational autoencoder,,https://www.biorxiv.org/content/10.64898/2026.06.15.731445v1.full.pdf,https://www.biorxiv.org/content/10.64898/2026.06.15.731445v1.full.pdf,open,,failed
4,UnCo: Uncertainty-Driven Collaborative Framework of Large and Small Models for Grounded Multimodal NER,Jielong Tang; Yang Yang; Jianxing Yu; Zhen-Xing Wang; Haoyuan Liang; Liang Yao; Jian Yin,"Grounded Multimodal Named Entity Recognition (GMNER) is a new information extraction task. It requires models to extract named entities and ground them to real-world visual objects. Previous methods, relying on domain-specific fine-tuning, struggle with unseen multimodal entities due to limited knowledge and generalization. Recently, multimodal large language models (MLLMs) have demonstrated strong open-set abilities. However, their performance is hindered by the lack of in-domain knowledge due to costly training for GMNER datasets. To address these limitations, we propose **UnCo**, a two-stage Uncertainty-driven Collaborative framework that leverages the complementary strengths of small fine-tuned models and MLLMs. Specifically, **in stage one**, we equip the small model with a unified uncertainty estimation (UE) for multimodal entities. This enables the small model to express ""I do not know"" when recognizing unseen entities beyond its capabilities. Predictions with high uncertainty are then filtered and delegated to the MLLM. **In stage two**, an Uncertainty-aware Hierarchical Correction mechanism guides the MLLM to refine uncertain predictions using its open-domain knowledge. Ultimately, UnCo effectively retains the in-domain knowledge of small models while utilizing the capabilities of MLLMs to handle unseen samples. Extensive experiments demonstrate UnCo’s effectiveness on two GMNER benchmarks.",UnCo 是一个面向接地多模态命名实体识别的两阶段不确定性驱动协同框架，通过让小模型先用不确定性判断并筛出自己“不确定”的未见实体，再交由多模态大模型分层纠错，从而结合小模型的领域内能力与大模型的开放域泛化能力。,acl_anthology,conference,EMNLP,formally_published,2025-01-01,,,3.217106921669596,large language model; multimodal large language model,,https://aclanthology.org/2025.emnlp-main.388/,https://aclanthology.org/2025.emnlp-main.388.pdf,open,pdf/2026-06-19_04_UnCo_ Uncertainty-Driven Collaborative Framework of Large and Small Models for Grounded Multimodal NER.pdf,downloaded
5,Non-Existent Relationship: Fact-Aware Multi-Level Machine-Generated Text Detection,Yang Wu; Ruijia Wang; Jie Wu,"Machine-generated text detection is critical for preventing misuse of large language models (LLMs). Although LLMs have recently excelled at mimicking human writing styles, they still suffer from factual hallucinations manifested as entity-relation inconsistencies with real-world knowledge. Current detection methods inadequately address the authenticity of the entity graph, which is a key discriminative feature for identifying machine-generated content. To bridge this gap, we propose a fact-aware model that assesses discrepancies between textual and factual entity graphs through graph comparison. In order to holistically analyze context information, our approach employs hierarchical feature extraction with gating units, enabling the adaptive fusion of multi-grained features from entity, sentence, and document levels. Experimental results on three public datasets demonstrate that our approach outperforms the state-of-the-art methods. Interpretability analysis shows that our model can capture the differences in entity graphs between machine-generated and human-written texts.",该论文提出一种面向机器生成文本检测的事实感知多层模型，通过比较文本中的实体关系图与真实世界事实图之间的不一致，并结合实体、句子和文档三级特征自适应融合，更有效地识别含有事实幻觉的机器生成文本，且在多个公开数据集上优于现有方法。,acl_anthology,conference,EMNLP,formally_published,2025-01-01,,,3.2170168916364834,large language model,,https://aclanthology.org/2025.emnlp-main.186/,https://aclanthology.org/2025.emnlp-main.186.pdf,open,pdf/2026-06-19_05_Non-Existent Relationship_ Fact-Aware Multi-Level Machine-Generated Text Detection.pdf,downloaded
6,OSKAR: Omnimodal Self-supervised Knowledge Abstraction and Representation,"Abdelfattah, Mohamed; Messaoud, Kaouther; Alahi, Alexandre","We present OSKAR, the first multimodal foundation model based on bootstrapped latent feature prediction. Unlike generative or contrastive methods, it avoids memorizing unnecessary details (e.g., pixels), and does not require negative pairs, large memory banks, or hand-crafted augmentations. We propose a novel pretraining strategy: given masked tokens from multiple modalities, predict a subset of missing tokens per modality, supervised by momentum-updated uni-modal target encoders. This design efficiently utilizes the model capacity in learning high-level representations while retaining modality-specific information. Further, we propose a scalable design which decouples the compute cost from the number of modalities using a fixed representative token budget—in both input and target tokens—and introduces a parameter-efficient cross-attention predictor that grounds each prediction in the full multimodal context. We instantiate OSKAR on video, skeleton, and text modalities. Extensive experimental results show that OSKAR's unified pretrained encoder outperforms models with specialized architectures of similar size in action recognition (rgb, skeleton, frozen, low-shot) and localization, video-text retrieval, and video question answering. Project website: https://multimodal-oskar.github.io",OSKAR提出了一种基于自监督潜特征预测的全模态基础模型，通过在视频、骨架和文本等多模态中预测被遮蔽的潜在表示，以更高效、可扩展的方式学习统一且保留模态特性的高层表示，并在动作识别、检索和问答等任务上显著优于同规模专用模型。,neurips,conference,NeurIPS 2025,formally_published,2026-04-23,,,3.2153650830585745,foundation model,,https://proceedings.neurips.cc/paper_files/paper/2025/hash/010ca5a0ccb09cfb554ed637758a08da-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/010ca5a0ccb09cfb554ed637758a08da-Paper-Conference.pdf,open,pdf/2026-06-19_06_OSKAR_ Omnimodal Self-supervised Knowledge Abstraction and Representation.pdf,downloaded
7,TaxoAdapt: Aligning LLM-Based Multidimensional Taxonomy Construction to Evolving Research Corpora,Priyanka Kargupta; Nan Zhang; Yunyi Zhang; Rui Zhang; Prasenjit Mitra; Jiawei Han,"The rapid evolution of scientific fields introduces challenges in organizing and retrieving scientific literature. While expert-curated taxonomies have traditionally addressed this need, the process is time-consuming and expensive. Furthermore, recent automatic taxonomy construction methods either (1) over-rely on a specific corpus, sacrificing generalizability, or (2) depend heavily on the general knowledge of large language models (LLMs) contained within their pre-training datasets, often overlooking the dynamic nature of evolving scientific domains. Additionally, these approaches fail to account for the multi-faceted nature of scientific literature, where a single research paper may contribute to multiple dimensions (e.g., methodology, new tasks, evaluation metrics, benchmarks). To address these gaps, we propose TaxoAdapt, a framework that dynamically adapts an LLM-generated taxonomy to a given corpus across multiple dimensions. TaxoAdapt performs iterative hierarchical classification, expanding both the taxonomy width and depth based on corpus’ topical distribution. We demonstrate its state-of-the-art performance across a diverse set of computer science conferences over the years to showcase its ability to structure and capture the evolution of scientific fields. As a multidimensional method, TaxoAdapt generates taxonomies that are 26.51% more granularity-preserving and 50.41% more coherent than the most competitive baselines judged by LLMs.",TaxoAdapt 提出了一种可随研究语料演化而动态调整的多维分类体系构建框架，通过迭代层次分类同时扩展分类宽度与深度，比现有方法更细粒度且更一致地组织快速变化的科学文献。,acl_anthology,conference,ACL,formally_published,2025-01-01,,,3.2151760324925704,large language model,,https://aclanthology.org/2025.acl-long.1442/,https://aclanthology.org/2025.acl-long.1442.pdf,open,pdf/2026-06-19_07_TaxoAdapt_ Aligning LLM-Based Multidimensional Taxonomy Construction to Evolving Research Corpora.pdf,downloaded
8,Finite State Automata Inside Transformers with Chain-of-Thought: A Mechanistic Study on State Tracking,Yifan Zhang; Wenyu Du; Dongming Jin; Jie Fu; Zhi Jin,"Chain-of-thought (CoT) significantly enhances the performance of large language models (LLMs) across a wide range of tasks, and prior research shows that CoT can theoretically increase expressiveness. However, there is limited mechanistic understanding of the algorithms that Transformer+CoT can learn. Our key contributions are: (1) We evaluate the state tracking capabilities of Transformer+CoT and its variants, confirming the effectiveness of CoT. (2) Next, we identify the circuit (a subset of model components, responsible for tracking the world state), indicating that late-layer MLP neurons play a key role. We propose two metrics, compression and distinction, and show that the neuron sets for each state achieve nearly 100% accuracy, providing evidence of an implicit finite state automaton (FSA) embedded within the model. (3) Additionally, we explore three challenging settings: skipping intermediate steps, introducing data noises, and testing length generalization. Our results demonstrate that Transformer+CoT learns robust algorithms (FSAs), highlighting its resilience in challenging scenarios. Our code is available at https://github.com/IvanChangPKU/FSA.",该论文通过机制可解释性分析发现，带思维链的Transformer在状态追踪任务中会于后层MLP神经元中隐式形成近乎准确的有限状态自动机，从而解释了CoT为何能显著提升其鲁棒性、表达能力与泛化表现。,acl_anthology,conference,ACL,formally_published,2025-01-01,,,3.2147187665638532,large language model,,https://aclanthology.org/2025.acl-long.668/,https://aclanthology.org/2025.acl-long.668.pdf,open,pdf/2026-06-19_08_Finite State Automata Inside Transformers with Chain-of-Thought_ A Mechanistic Study on State Tracking.pdf,downloaded
9,RMoA: Optimizing Mixture-of-Agents through Diversity Maximization and Residual Compensation,Zhentao Xie; Chengcheng Han; Jinxin Shi; Wenjun Cui; Xin Zhao; Xingjiao Wu; Jiabao Zhao,"Although multi-agent systems based on large language models show strong capabilities on multiple tasks, they are still limited by high computational overhead, information loss, and robustness. Inspired by ResNet’s residual learning, we propose Residual Mixture-of-Agents (RMoA), integrating residual connections to optimize efficiency and reliability. To maximize information utilization from model responses while minimizing computational costs, we innovatively design an embedding-based diversity selection mechanism that greedily selects responses via vector similarity. Furthermore, to mitigate iterative information degradation, we introduce a Residual Extraction Agent to preserve cross-layer incremental information by capturing inter-layer response differences, coupled with a Residual Aggregation Agent for hierarchical information integration. Additionally, we propose an adaptive termination mechanism that dynamically halts processing based on residual convergence, further improving inference efficiency. RMoA achieves state-of-the-art performance on the benchmarks of across alignment, mathematical reasoning, code generation, and multitasking understanding, while significantly reducing computational overhead. Code is available at https://github.com/mindhunter01/RMoA.",RMoA 通过基于嵌入的多样性选择、残差信息提取与聚合以及自适应终止机制，优化多智能体大语言模型的效率、鲁棒性和信息利用率，并以更低计算开销在对齐、数学推理、代码生成和多任务理解上取得了最先进性能。,acl_anthology,conference,ACL,formally_published,2025-01-01,,,3.2145368514252306,large language model; multi-agent system,,https://aclanthology.org/2025.findings-acl.342/,https://aclanthology.org/2025.findings-acl.342.pdf,open,pdf/2026-06-19_09_RMoA_ Optimizing Mixture-of-Agents through Diversity Maximization and Residual Compensation.pdf,downloaded
10,RSVG-ZeroOV: Exploring a Training-Free Framework for Zero-Shot Open-Vocabulary Visual Grounding in Remote Sensing Images,Ke Li; Di Wang; Ting Wang; Fuyu Dong; Yiming Zhang; Luyao Zhang; Xiangyu Wang; Shaofeng Li; Quan Wang,"Remote sensing visual grounding (RSVG) aims to localize objects in remote sensing images based on free-form natural language expressions. Existing approaches are typically constrained to closed-set vocabularies, limiting their applicability in open-world scenarios. While recent attempts to leverage generic foundation models for open-vocabulary RSVG, they overly rely on expensive high-quality datasets and time-consuming fine-tuning. To address these limitations, we propose RSVG-ZeroOV, a training-free framework that aims to explore the potential of frozen generic foundation models for zero-shot open-vocabulary RSVG. Specifically, RSVG-ZeroOV comprises three key stages: (i) Overview: We utilize a vision-language model (VLM) to obtain cross-attention maps that capture semantic correlations between text queries and visual regions. (ii) Focus: By leveraging the fine-grained modeling priors of a diffusion model (DM), we fill in gaps in structural and shape information of objects, which are often overlooked by VLM. (iii) Evolve: A simple yet effective attention evolution module is introduced to suppress irrelevant activations, yielding purified segmentation masks over the referred objects. Without cumbersome task-specific training, RSVG-ZeroOV offers an efficient and scalable solution. Extensive experiments demonstrate that the proposed framework consistently outperforms existing weakly-supervised and zero-shot methods.",RSVG-ZeroOV提出了一种无需训练的零样本开放词汇遥感视觉指代理框架，通过结合视觉语言模型的语义注意力、扩散模型的细粒度结构补全以及注意力演化模块的去噪优化，在无需微调的情况下高效定位自然语言描述目标，并显著优于现有弱监督与零样本方法。,openalex,conference,Proceedings of the AAAI Conference on Artificial Intelligence,formally_published,2026-03-14,https://doi.org/10.1609/aaai.v40i8.37555,Multimodal Machine Learning Applications; Domain Adaptation and Few-Shot Learning; Advanced Image and Video Retrieval Techniques,3.212982103926636,diffusion; foundation model,1,https://doi.org/10.1609/aaai.v40i8.37555,,diamond,,no_pdf_url
