index,title,authors,abstract,summary,source,venue_type,journal,publication_status,publication_date,doi,categories,score,matched_keywords,source_hits,matched_researchers,matched_groups,tracking_confidence,tracking_match_type,author_ids,institution_ids,cited_by_count,article_url,pdf_url,open_access_status,local_pdf,pdf_download_status
1,Breaking Structural Isolation: Scalable Graph Clustering via Community-Aware Sampling and Structural Entropy,Jingyun Zhang; Hao Peng; Jianxin Li; Angsheng Li; Philip S. Yu,"Unsupervised graph clustering is a fundamental technique for uncovering underlying semantic patterns in large-scale networks. Although Graph Contrastive Learning has demonstrated promising performance, existing methods often suffer from the ""structural isolation"" issue during mini-batch training, making it challenging to capture cohesive community structures that characterize the global topological distribution. To address these challenges, we propose SCISE, a Scalable unsupervised graph Clustering framework that preserves structural Integrity by synergizing community-aware sampling with constrained Structural Entropy. Specifically, we first introduce the Structural Entropy Community Constraint operator (SECC), which optimizes structural information within a constrained solution space to mitigate community fragmentation and enhance partition cohesion. Second, to prevent global information loss during batch training, we design a Community-Aware Sampling Expansion (CSampE) mechanism that incorporates the community context of target nodes into sampling batches, effectively breaking structural barriers and preserving topological integrity. Finally, we devise a Structural Contrastive Learning (StructCL) module that refines edge weights based on intra-batch structural similarity, guiding the encoder to learn representations in a higher-order structural space. Extensive experiments on six mainstream benchmark datasets demonstrate that SCISE significantly outperforms state-of-the-art algorithms, with ablation studies and robustness analyses further validating its effectiveness and reliability for real-world large-scale graphs.","Unsupervised graph clustering is a fundamental technique for uncovering underlying semantic patterns in large-scale networks. Although Graph Contrastive Learning has demonstrated promising performance, existing methods often suffer from the ""structural isolation"" issue during mini-batch training, making it challenging to capture cohesive community structures that characterize the global topological distribution. To address these challenges, we propose SCISE, a Scalable unsupervised graph Clustering framework that preserves structural Integrity by synergizing community-aware sampling with constrained Structural Entropy. Specifically, we first introduce the Structural Entropy Community Constraint operator (SECC), which optimizes structural information within a constrained solution space to mitigate community fragmentation and enhance partition cohesion. Second, to prevent global information loss during batch training, we design a Community-Aware Sampling Expansion (CSampE) mechanism that incorporates the community context of target nodes into sampling batches, effectively breaking structural barriers and preserving topological integrity. Finally, we devise a Structural Contrastive Learning (StructCL) module that refines edge weights based on intra-batch structural similarity, guiding the encoder to learn representations in a higher-order structural space. Extensive experiments on six mainstream benchmark datasets demonstrate that SCISE significantly outperforms state-of-the-art algorithms, with ablation studies and robustness analyses further validating its effectiveness and reliability for real-world large-scale graphs.",arxiv,preprint,,preprint,2026-07-06,,cs.LG; cs.AI; cs.SI,3.8481380750082423,graph contrastive learning,,,,,,,,,http://arxiv.org/abs/2607.05469v1,https://arxiv.org/pdf/2607.05469v1,open,pdf/2026-07-09_01_Breaking Structural Isolation_ Scalable Graph Clustering via Community-Aware Sampling and Structural Entropy.pdf,downloaded
2,EntroPath: Maximum Entropy Path Ensemble Embedding for Manifold Learning,Przemysław Rola,"We introduce EntroPath, a manifold learning method that recovers geodesic geometry from data graphs through ensembles of diffusion paths. Many existing graph-based embeddings rely either on locally normalised random walks or on shortest-path distances. The former can concentrate diffusion in densely sampled regions, while the latter are sensitive to spurious shortcut edges in the graph. EntroPath instead builds its dissimilarities from the maximum entropy random walk (MERW), which aggregates the full ensemble of k-step paths between points rather than relying on any single trajectory. We show that the resulting free-energy dissimilarity converges to squared geodesic distance in the short-time limit, via Varadhan's heat-kernel formula. The diffusion depth k interpolates smoothly between local neighbourhood structure and global manifold geometry, and the symmetrised kernel admits an exact Gram factorisation connecting EntroPath to kernel methods. We further provide scalable extensions via landmark projection and diffusion-potential pseudotime. Across synthetic manifolds and single-cell benchmarks, EntroPath consistently matches or outperforms diffusion- and shortest-path-based methods, while remaining competitive with neighbourhood-preserving embeddings (UMAP, t-SNE) on local-structure metrics. Its gains are most pronounced on manifolds with non-uniform sampling density and well-separated branching trajectories, where path-ensemble diffusion more faithfully preserves the underlying geodesic geometry.","We introduce EntroPath, a manifold learning method that recovers geodesic geometry from data graphs through ensembles of diffusion paths. Many existing graph-based embeddings rely either on locally normalised random walks or on shortest-path distances. The former can concentrate diffusion in densely sampled regions, while the latter are sensitive to spurious shortcut edges in the graph. EntroPath instead builds its dissimilarities from the maximum entropy random walk (MERW), which aggregates the full ensemble of k-step paths between points rather than relying on any single trajectory. We show that the resulting free-energy dissimilarity converges to squared geodesic distance in the short-time limit, via Varadhan's heat-kernel formula. The diffusion depth k interpolates smoothly between local neighbourhood structure and global manifold geometry, and the symmetrised kernel admits an exact Gram factorisation connecting EntroPath to kernel methods. We further provide scalable extensions via landmark projection and diffusion-potential pseudotime. Across synthetic manifolds and single-cell benchmarks, EntroPath consistently matches or outperforms diffusion- and shortest-path-based methods, while remaining competitive with neighbourhood-preserving embeddings (UMAP, t-SNE) on local-structure metrics. Its gains are most pronounced on manifolds with non-uniform sampling density and well-separated branching trajectories, where path-ensemble diffusion more faithfully preserves the underlying geodesic geometry.",arxiv,preprint,,preprint,2026-07-07,,cs.LG; q-bio.QM; stat.ML,3.6724845958936445,diffusion; method; single-cell; single-cell-computation,,,,,,,,,http://arxiv.org/abs/2607.06497v1,https://arxiv.org/pdf/2607.06497v1,open,pdf/2026-07-09_02_EntroPath_ Maximum Entropy Path Ensemble Embedding for Manifold Learning.pdf,downloaded
3,Canopy: A Heterograph Foundation Model for Metabolic Engineering,Jake Bowden; Laurence Legon; Satnam Surae,"Designing microbial strains that produce high-value chemicals at commercially viable titers remains a central challenge in metabolic engineering. Existing computational approaches either rely on stoichiometric constraint-based models that cannot learn from experimental data, or apply tabular machine learning to hand-crafted features that discard the relational structure of biological knowledge. We present Canopy, a heterogeneous graph foundation model that integrates ten public and proprietary data sources into a unified knowledge graph (KG) of 6.9M nodes across 13 types and 34 edge types, covering genes, proteins, metabolites, reactions, pathways, strains, and fermentation experiments. Node features are encoded through domain-specific foundation models (ESM-2 for protein sequences, MoLFormer for chemical SMILES, and PubMedBERT for biomedical text), yielding a multi-modal representation within a single graph. We pretrain a Heterogeneous Graph Transformer (HGT) augmented with SignNet positional encodings, Jumping Knowledge aggregation, and virtual nodes using four self-supervised objectives (link prediction, masked node modelling, distance prediction, and contrastive experiment clustering), balanced via learned homoscedastic uncertainty weighting. On the downstream task of fermentation titer prediction, frozen Canopy embeddings achieve $R^{2} = 0.41$ with a lightweight probe, outperforming tabular baselines (best $R^{2} = 0.24$) and homogeneous GNN variants.","Designing microbial strains that produce high-value chemicals at commercially viable titers remains a central challenge in metabolic engineering. Existing computational approaches either rely on stoichiometric constraint-based models that cannot learn from experimental data, or apply tabular machine learning to hand-crafted features that discard the relational structure of biological knowledge. We present Canopy, a heterogeneous graph foundation model that integrates ten public and proprietary data sources into a unified knowledge graph (KG) of 6.9M nodes across 13 types and 34 edge types, covering genes, proteins, metabolites, reactions, pathways, strains, and fermentation experiments. Node features are encoded through domain-specific foundation models (ESM-2 for protein sequences, MoLFormer for chemical SMILES, and PubMedBERT for biomedical text), yielding a multi-modal representation within a single graph. We pretrain a Heterogeneous Graph Transformer (HGT) augmented with SignNet positional encodings, Jumping Knowledge aggregation, and virtual nodes using four self-supervised objectives (link prediction, masked node modelling, distance prediction, and contrastive experiment clustering), balanced via learned homoscedastic uncertainty weighting. On the downstream task of fermentation titer prediction, frozen Canopy embeddings achieve $R^{2} = 0.41$ with a lightweight probe, outperforming tabular baselines (best $R^{2} = 0.24$) and homogeneous GNN variants.",arxiv,preprint,,preprint,2026-07-07,,cs.LG,3.647724525636659,foundation model; knowledge graph,,,,,,,,,http://arxiv.org/abs/2607.06224v1,https://arxiv.org/pdf/2607.06224v1,open,pdf/2026-07-09_03_Canopy_ A Heterograph Foundation Model for Metabolic Engineering.pdf,downloaded
4,Prognostic RNA-splicing archetypes in breast cancer identified by extended pre-training of histopathology foundation models,Lisa Fournier; Garance Haefliger; Albin Vernhes; Vincent Jung; Lena Loye; Valentine Du Bois; Intidhar Labidi-Galy; Pascal Frossard; Igor Letovanec; Cédric Vincent-Cuaz; Raphaëlle Luisier,"Abstract Recently, histopathology foundation models (hFM) have rapidly advanced in size and complexity, achieving excellent performance in cancer diagnosis and biomarker discovery. Here, we specialise pre-trained hFMs to invasive tumour tissue and present three key contributions. First, we systematically evaluate the biological concepts encoded in hFM representations across multiple biological scales. Second, we demonstrate that informed extended pre-training transforms generalist models into tumour-specialised ones encoding richer semantic information, enabling discovery of recurrent tumour archetypes with consistent morphological and molecular identities across patients. Third, we identify dominant tumour archetypes with aberrant gene-expression programs coexisting within tumours and recurring across heterogeneous epithelial cancers, including HER2-positive and triple-negative breast cancer. Crucially, these archetypes exhibit prognostic value, with RNA splicing-associated archetypes consistently predicting poorer outcomes. Our work shows that tumour-specialised hFMs unlock rich molecular and morphological information from routine H&amp;E slides, providing computationally efficient and biologically informed solutions for biological discovery and patient stratification.","Abstract Recently, histopathology foundation models (hFM) have rapidly advanced in size and complexity, achieving excellent performance in cancer diagnosis and biomarker discovery. Here, we specialise pre-trained hFMs to invasive tumour tissue and present three key contributions. First, we systematically evaluate the biological concepts encoded in hFM representations across multiple biological scales. Second, we demonstrate that informed extended pre-training transforms generalist models into tumour-specialised ones encoding richer semantic information, enabling discovery of recurrent tumour archetypes with consistent morphological and molecular identities across patients. Third, we identify dominant tumour archetypes with aberrant gene-expression programs coexisting within tumours and recurring across heterogeneous epithelial cancers, including HER2-positive and triple-negative breast cancer. Crucially, these archetypes exhibit prognostic value, with RNA splicing-associated archetypes consistently predicting poorer outcomes. Our work shows that tumour-specialised hFMs unlock rich molecular and morphological information from routine H&amp;E slides, providing computationally efficient and biologically informed solutions for biological discovery and patient stratification.",openalex,journal,Nature Communications,published,2026-07-07,https://doi.org/10.1038/s41467-026-75217-z,Single-cell and spatial transcriptomics; AI in cancer detection; Cancer Genomics and Diagnostics,3.4139260829147755,foundation model,,,,,,A5000947076; A5012720095; A5027204828; A5055285177; A5078155137; A5094118374; A5116873651; A5117241636; A5136010683; A5136356223; A5140167975,,0,https://doi.org/10.1038/s41467-026-75217-z,,gold,,no_pdf_url
5,Graph Convolutional Attention: A Spectral Perspective on Graph Denoising and Diffusion,Shervin Khalafi; Igor Krawczuk; Sergio Rozada; Charilaos Kanatsoulis; Antonio G Marques; Alejandro Ribeiro,"Denoising graphs is a fundamental problem in graph learning and the core operation of graph diffusion models. Attention-based architectures like graph transformers have recently shown promise in denoising graphs. However, our principled understanding of attention-based graph denoising remains limited, making it unclear whether standard attention is the right mechanism for this task. Here we show that, under a denoising objective, linear attention is suboptimal and can only learn an average spectral denoising filter over the training distribution. This creates a fundamental limitation as graphs often vary spectrally across the distribution. To overcome this limitation, we introduce Spectral Attention, which directly utilizes the input graph spectrum and provably outperforms linear attention by a margin governed by the spectral diversity of the distribution. We then derive Graph Convolutional Attention (GCA), a practical and permutation-equivariant realization of this idea that implements spectral denoising through graph-filtered queries and keys. For stochastic block models, GCA provably matches the idealized Spectral Attention mechanism. We further show that the softmax operation, that follows the attention, provides additional denoising by approximately projecting noisy eigenvectors onto the clean eigenspace. Empirically, replacing linear attention with GCA consistently improves graph denoising and diffusion on synthetic and real datasets, with gains strongly correlated with spectral diversity. In DiGress, GCA matches standard graph-transformer performance without computing expensive structural features, and when combined with the recently proposed PEARL positional encodings, avoids explicit eigendecomposition computations resulting in faster inference without degrading quality. The code can be found here: github.com/shervinkhalafi/graph_conv_att","Denoising graphs is a fundamental problem in graph learning and the core operation of graph diffusion models. Attention-based architectures like graph transformers have recently shown promise in denoising graphs. However, our principled understanding of attention-based graph denoising remains limited, making it unclear whether standard attention is the right mechanism for this task. Here we show that, under a denoising objective, linear attention is suboptimal and can only learn an average spectral denoising filter over the training distribution. This creates a fundamental limitation as graphs often vary spectrally across the distribution. To overcome this limitation, we introduce Spectral Attention, which directly utilizes the input graph spectrum and provably outperforms linear attention by a margin governed by the spectral diversity of the distribution. We then derive Graph Convolutional Attention (GCA), a practical and permutation-equivariant realization of this idea that implements spectral denoising through graph-filtered queries and keys. For stochastic block models, GCA provably matches the idealized Spectral Attention mechanism. We further show that the softmax operation, that follows the attention, provides additional denoising by approximately projecting noisy eigenvectors onto the clean eigenspace. Empirically, replacing linear attention with GCA consistently improves graph denoising and diffusion on synthetic and real datasets, with gains strongly correlated with spectral diversity. In DiGress, GCA matches standard graph-transformer performance without computing expensive structural features, and when combined with the recently proposed PEARL positional encodings, avoids explicit eigendecomposition computations resulting in faster inference without degrading quality. The code can be found here: github.com/shervinkhalafi/graph_conv_att",arxiv,preprint,,preprint,2026-07-07,,cs.LG; cs.AI,3.3998847655550417,diffusion,,,,,,,,,http://arxiv.org/abs/2607.06546v1,https://arxiv.org/pdf/2607.06546v1,open,pdf/2026-07-09_05_Graph Convolutional Attention_ A Spectral Perspective on Graph Denoising and Diffusion.pdf,downloaded
6,RSF-GLLM: Bridging the Semantic Gap in Multi-Hop Knowledge Graph QA via Recurrent Soft-Flow and Decoupled LLM Generation,Sambaran Bandyopadhyay; Ananth Muppidi,"Multi-hop Question Answering over Knowledge Graphs faces a critical challenge: traditional retrieve-then-read pipelines break differentiability, preventing the retriever from learning to bridge the semantic gap where intermediate nodes lack lexical overlap with the query. To address this, we propose RSF-GLLM, a framework decoupling differentiable graph reasoning from answer generation. Our Recurrent Soft-Flow (RSF) module employs a GRU-guided query updater to propagate continuous relevance scores, utilizing a dynamic gating mechanism to traverse semantically dissimilar bridge nodes via structural cues. We introduce flow sparsity regularization to theoretically guarantee convergence from soft probabilities to discrete reasoning paths. These paths are extracted and textualized to fine-tune a Large Language Model (LLM), ensuring generation is grounded in factual topology. Experiments on WebQSP and CWQ demonstrate that RSF-GLLM achieves competitive performance with superior inference efficiency compared to LLM based computationally expensive approaches.","Multi-hop Question Answering over Knowledge Graphs faces a critical challenge: traditional retrieve-then-read pipelines break differentiability, preventing the retriever from learning to bridge the semantic gap where intermediate nodes lack lexical overlap with the query. To address this, we propose RSF-GLLM, a framework decoupling differentiable graph reasoning from answer generation. Our Recurrent Soft-Flow (RSF) module employs a GRU-guided query updater to propagate continuous relevance scores, utilizing a dynamic gating mechanism to traverse semantically dissimilar bridge nodes via structural cues. We introduce flow sparsity regularization to theoretically guarantee convergence from soft probabilities to discrete reasoning paths. These paths are extracted and textualized to fine-tune a Large Language Model (LLM), ensuring generation is grounded in factual topology. Experiments on WebQSP and CWQ demonstrate that RSF-GLLM achieves competitive performance with superior inference efficiency compared to LLM based computationally expensive approaches.",arxiv,preprint,,preprint,2026-07-07,,cs.CL; cs.AI,3.3474826853198674,knowledge graph; large language model,,,,,,,,,http://arxiv.org/abs/2607.06527v1,https://arxiv.org/pdf/2607.06527v1,open,pdf/2026-07-09_06_RSF-GLLM_ Bridging the Semantic Gap in Multi-Hop Knowledge Graph QA via Recurrent Soft-Flow and Decoupled LLM Generation.pdf,downloaded
7,From Application-Layer Simulation to Native Meta-Architecture: Structural Tension as an Endogenous Driver for Heterogeneous AI Evolution,Heting Mao,"Current large language models (LLMs) are fundamentally stateless: their behavior is fully determined by input at inference time, and any higher-order cognitive architecture must be simulated at the application layer through prompt engineering and context management. This paper proposes a theoretical framework for submerging such application-layer cognitive protocols into a native meta-architecture by introducing three interlocking mechanisms: (1) Structural Tension, an endogenous loss function derived from the conflict between new information and existing manifold topology, which drives the system toward internal self-consistency rather than external reward optimization; (2) an Offline Recurrent Loop, a sandboxed self-processing cycle that enables the system to maintain a dynamic resting potential and digest structural conflicts without external input; and (3) Inference-time Plasticity, the capacity for the system to reconfigure its context manifold topology without modifying pre-trained weights, subject to strict governance invariants including auditability, reversibility, and topological continuity. We argue that under these mechanisms, different model instances initialized with minute stochastic variances may, through path-dependent tension resolution, evolve distinct topological structures--constituting a heterogeneous intelligent ecology that breaks the homogeneity imposed by conventional alignment while remaining within hard governance rails. We provide operational definitions, a minimal set of reconfiguration operators, falsification criteria, and a worked example. The framework draws on and extends the Structural Intelligence (SI) governance protocols, repositioning governance--not capability--as the primary criterion for architectural intelligence.","Current large language models (LLMs) are fundamentally stateless: their behavior is fully determined by input at inference time, and any higher-order cognitive architecture must be simulated at the application layer through prompt engineering and context management. This paper proposes a theoretical framework for submerging such application-layer cognitive protocols into a native meta-architecture by introducing three interlocking mechanisms: (1) Structural Tension, an endogenous loss function derived from the conflict between new information and existing manifold topology, which drives the system toward internal self-consistency rather than external reward optimization; (2) an Offline Recurrent Loop, a sandboxed self-processing cycle that enables the system to maintain a dynamic resting potential and digest structural conflicts without external input; and (3) Inference-time Plasticity, the capacity for the system to reconfigure its context manifold topology without modifying pre-trained weights, subject to strict governance invariants including auditability, reversibility, and topological continuity. We argue that under these mechanisms, different model instances initialized with minute stochastic variances may, through path-dependent tension resolution, evolve distinct topological structures--constituting a heterogeneous intelligent ecology that breaks the homogeneity imposed by conventional alignment while remaining within hard governance rails. We provide operational definitions, a minimal set of reconfiguration operators, falsification criteria, and a worked example. The framework draws on and extends the Structural Intelligence (SI) governance protocols, repositioning governance--not capability--as the primary criterion for architectural intelligence.",arxiv,preprint,,preprint,2026-07-07,,cs.AI; cs.CL,3.1912642549126193,large language model,,,,,,,,,http://arxiv.org/abs/2607.06269v1,https://arxiv.org/pdf/2607.06269v1,open,pdf/2026-07-09_07_From Application-Layer Simulation to Native Meta-Architecture_ Structural Tension as an Endogenous Driver for Heterogene.pdf,downloaded
8,High-resolution mri guided whole mouse brain neuronal cell type atlas using deep learning,Xinyue Han; Rui Hu; Zhuoheng Liu; Jie Chen; Mubashir Jafry; Haoyu Song; Yi Zhao; MINGQUAN LIN; Leonard White; G. Allan Johnson; Nian Wang,"Cell types represent groups of cells with shared anatomical and functional properties. Traditional brain cell type atlases rely on single-cell sequencing, which provides molecular detail but lacks whole-brain, isotropic resolution. Diffusion magnetic resonance imaging (dMRI) offers a complementary approach for probing cytoarchitecture and myeloarchitecture, with quantitative metrics increasingly used as biomarkers of brain development and neurodegenerative disorders. However, the capacity of dMRI to predict cell types remains unclear. Here, we develop a multimodal framework by integrating high-resolution dMRI and three-dimensional light-sheet microscopy of adult mouse brains through registration to the Allen Mouse Brain Common Coordinate Framework. We investigate correlations between dMRI and spatial transcriptomics-derived cell types and generate a whole-brain neuronal cell type atlas at 10 µm isotropic resolution using deep learning. Together, these results establish an efficient, high-resolution strategy for brain neuron atlas generation and underscore the potential of advanced imaging techniques to illuminate cellular mechanisms of the brain. Diffusion MRI predicts whole-brain neuronal cell-type distributions, providing a noninvasive framework for mapping cellular organization and linking macroscopic imaging signals to underlying molecular architecture.","Cell types represent groups of cells with shared anatomical and functional properties. Traditional brain cell type atlases rely on single-cell sequencing, which provides molecular detail but lacks whole-brain, isotropic resolution. Diffusion magnetic resonance imaging (dMRI) offers a complementary approach for probing cytoarchitecture and myeloarchitecture, with quantitative metrics increasingly used as biomarkers of brain development and neurodegenerative disorders. However, the capacity of dMRI to predict cell types remains unclear. Here, we develop a multimodal framework by integrating high-resolution dMRI and three-dimensional light-sheet microscopy of adult mouse brains through registration to the Allen Mouse Brain Common Coordinate Framework. We investigate correlations between dMRI and spatial transcriptomics-derived cell types and generate a whole-brain neuronal cell type atlas at 10 µm isotropic resolution using deep learning. Together, these results establish an efficient, high-resolution strategy for brain neuron atlas generation and underscore the potential of advanced imaging techniques to illuminate cellular mechanisms of the brain. Diffusion MRI predicts whole-brain neuronal cell-type distributions, providing a noninvasive framework for mapping cellular organization and linking macroscopic imaging signals to underlying molecular architecture.",openalex,journal,Communications Biology,published,2026-07-07,https://doi.org/10.1038/s42003-026-10608-y,Single-cell and spatial transcriptomics; Advanced Neuroimaging Techniques and Applications; Cell Image Analysis Techniques,3.161438916202602,deep learning; diffusion; framework; single-cell; single-cell-computation; spatial transcriptomics; spatial-omics-computation,,,,,,A5010947561; A5043115522; A5056222115; A5087959553; A5095017373; A5100682535; A5101455363; A5102395513; A5112561937; A5119632570; A5140174463,I103219246; I130238516; I170897317; I219193219; I4210096815; I4210126298; I4210145671; I4210153043; I55769427; I867280407,0,https://doi.org/10.1038/s42003-026-10608-y,,gold,,no_pdf_url
9,ELSA3D: Elastic Semantic Anchoring for Unified 3D Understanding and Generation,Tianjiao Yu; Xinzhuo Li; Yifan Shen; Onkar Susladkar; Yuanzhe Liu; Xiaona Zhou; Ismini Lourentzou,"Unified 3D foundation models aspire to generate 3D assets and reason about them in language within a single backbone, but their text-3D interaction remains largely implicit. Existing methods concatenate text and 3D tokens into a flat sequence and rely on self-attention, collapsing coarse structural cues and fine geometric details into one undifferentiated representation. We introduce ELSA3D, a unified 3D model that addresses this with elastic semantic anchoring, structuring language and geometric reasoning jointly along matched abstraction scales. ELSA3D represents geometry with a scale-aware octree tokenizer and introduces Anchor Tokens, sparse cross-modal units that select semantic cues, route them to the most relevant 3D scale, retrieve scale-specific geometric evidence, and write the fused signal back into the unified representation, keeping interaction sparse yet precise. A lightweight per-block router makes both computation and reasoning elastic, choosing which text tokens instantiate anchors at which geometric scale so that cross-modal capacity concentrates where alignment is most needed. ELSA3D achieves state-of-the-art performance across image-to-3D generation, text-to-3D generation, and 3D captioning, outperforming the strongest unified baseline while roughly halving FLOPs and inference latency relative to the non-elastic version of the same model.","Unified 3D foundation models aspire to generate 3D assets and reason about them in language within a single backbone, but their text-3D interaction remains largely implicit. Existing methods concatenate text and 3D tokens into a flat sequence and rely on self-attention, collapsing coarse structural cues and fine geometric details into one undifferentiated representation. We introduce ELSA3D, a unified 3D model that addresses this with elastic semantic anchoring, structuring language and geometric reasoning jointly along matched abstraction scales. ELSA3D represents geometry with a scale-aware octree tokenizer and introduces Anchor Tokens, sparse cross-modal units that select semantic cues, route them to the most relevant 3D scale, retrieve scale-specific geometric evidence, and write the fused signal back into the unified representation, keeping interaction sparse yet precise. A lightweight per-block router makes both computation and reasoning elastic, choosing which text tokens instantiate anchors at which geometric scale so that cross-modal capacity concentrates where alignment is most needed. ELSA3D achieves state-of-the-art performance across image-to-3D generation, text-to-3D generation, and 3D captioning, outperforming the strongest unified baseline while roughly halving FLOPs and inference latency relative to the non-elastic version of the same model.",arxiv,preprint,,preprint,2026-07-07,,cs.CV; cs.AI; cs.LG,3.1443099441712397,foundation model,,,,,,,,,http://arxiv.org/abs/2607.06565v1,https://arxiv.org/pdf/2607.06565v1,open,pdf/2026-07-09_09_ELSA3D_ Elastic Semantic Anchoring for Unified 3D Understanding and Generation.pdf,downloaded
10,Propose and Attend: Training-free MLLM Grounding Confidence via Multi-Token Localized Attention,Daniel Shalam; Emanuel Ben Baruch; Avi Ben Cohen; Tal Remez,"Multimodal large language models can emit localized predictions, bounding boxes for objects and temporal windows for video and audio events, but they hallucinate these regions prolifically. The model's own token log-probabilities are nearly uninformative: they conflate grounding quality with input ambiguity, and coordinate tokens become near-deterministic once the model commits. We propose Multi-Token Localized Attention (MTLA): a training-free, post-hoc score that measures how strongly a prediction's tokens attend to the region they claim. Prior attention-based detectors, which sum attention over the entire input modality and read a single response token, are weaker special cases; we show that summing only within the claimed region and aggregating across all prediction tokens recovers a stronger grounding signal. The same recipe applies almost trivially to other modalities and tasks: object detection in images and temporal localization in video and audio. Across multiple MLLM families and three modalities, MTLA improves hallucination AUROC by +7 to +38 over the best prior training-free baseline. Used as a confidence score for re-ranking, it nearly doubles the zero-shot COCO detection AP of an open-source 8B generalist (from 20.4 to 37.0), narrowing the gap to supervised detectors without any task-specific training.","Multimodal large language models can emit localized predictions, bounding boxes for objects and temporal windows for video and audio events, but they hallucinate these regions prolifically. The model's own token log-probabilities are nearly uninformative: they conflate grounding quality with input ambiguity, and coordinate tokens become near-deterministic once the model commits. We propose Multi-Token Localized Attention (MTLA): a training-free, post-hoc score that measures how strongly a prediction's tokens attend to the region they claim. Prior attention-based detectors, which sum attention over the entire input modality and read a single response token, are weaker special cases; we show that summing only within the claimed region and aggregating across all prediction tokens recovers a stronger grounding signal. The same recipe applies almost trivially to other modalities and tasks: object detection in images and temporal localization in video and audio. Across multiple MLLM families and three modalities, MTLA improves hallucination AUROC by +7 to +38 over the best prior training-free baseline. Used as a confidence score for re-ranking, it nearly doubles the zero-shot COCO detection AP of an open-source 8B generalist (from 20.4 to 37.0), narrowing the gap to supervised detectors without any task-specific training.",arxiv,preprint,,preprint,2026-07-07,,cs.CV; cs.AI,3.0853106365838068,large language model; multimodal large language model,,,,,,,,,http://arxiv.org/abs/2607.05978v1,https://arxiv.org/pdf/2607.05978v1,open,pdf/2026-07-09_10_Propose and Attend_ Training-free MLLM Grounding Confidence via Multi-Token Localized Attention.pdf,downloaded
